TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TURNOVER,VOLATILITY
2019-08-29,30.5,31.23,30.01,30.84,0.004174828960968647,0.01484263863990643
2019-08-30,30.96,31.99,29.63,30.64,0.006713589604764483,0.033116241258948347
2019-09-03,30.61,31.38,30.01,30.23,0.005000738297977063,0.006896087318275975
2019-09-04,30.91,31.0,29.85,30.89,0.008788699118964413,0.03521380821997871
2019-09-05,30.01,31.29,23.7,25.55,0.05644337254515923,0.19470409968770933
2019-09-06,25.99,27.36,25.82,26.06,0.011508588866466506,0.19283235840963822
2019-09-09,26.29,26.8,23.22,23.47,0.014939213466555102,0.11934691073630616
2019-09-10,23.36,24.0,22.88,23.35,0.013558104050794901,0.09427317538754583
2019-09-11,23.5,24.4,23.45,23.93,0.012032288231530245,0.02995226149282834
2019-09-12,24.16,25.6,24.16,25.28,0.013127922429492542,0.031575160881941636
2019-09-13,25.21,26.19,24.36,24.64,0.005449623468031697,0.08173106395082771
2019-09-16,24.81,25.22,23.45,23.48,0.00942265098193631,0.0217614107375585
2019-09-17,23.52,24.0,22.3,22.57,0.01156174632081508,0.00832153437875733
2019-09-18,22.55,23.18,21.9,22.59,0.009972929074174337,0.03964253500023866
2019-09-19,22.69,23.3,22.45,23.06,0.008451050844120686,0.019919483359856466
2019-09-20,22.97,23.93,22.69,23.86,0.023581237387409557,0.013886522288980343
2019-09-23,23.85,24.35,22.3,22.49,0.007580843628488458,0.09211046494157554
2019-09-24,22.47,22.49,19.23,19.39,0.030473987301274794,0.08042075097255538
2019-09-25,19.69,19.69,18.15,19.0,0.016419747009893192,0.11772562823553649
2019-09-26,18.91,19.05,17.58,17.89,0.011340256927696019,0.038307655053194826
2019-09-27,17.89,18.15,16.65,17.05,0.014174336762317271,0.01146746925807904
2019-09-30,17.11,17.69,16.85,17.44,0.009098784269331101,0.06982759288427752
2019-10-01,17.53,17.53,15.7,15.92,0.013644731013437023,0.11002996426873964
2019-10-02,15.57,16.99,15.12,16.87,0.014609440370133385,0.14682940135325756
2019-10-03,16.88,18.08,16.73,17.66,0.008480582763203228,0.012844785610914962
2019-10-04,17.73,17.92,16.8,17.32,0.009701235418614952,0.06608118579864353
2019-10-07,19.24,20.8,17.8,20.5,0.028661711866909485,0.2028553491555181
2019-10-08,20.61,20.75,18.89,19.1,0.01658807894866368,0.2518954565360388
2019-10-09,19.11,19.5,18.3,19.12,0.017979032337451396,0.06933980868316877
2019-10-10,19.12,19.52,18.63,18.86,0.009492543190431657,0.014645482098387702
2019-10-11,18.95,19.2,17.41,17.64,0.013885908352611115,0.05108889350807521
2019-10-14,17.58,18.56,17.25,18.45,0.00848845794162524,0.11060567802854511
2019-10-15,18.65,19.64,18.5,19.46,0.009513215533789438,0.00882400740126819
2019-10-16,19.46,20.5,18.98,20.33,0.007026627947039425,0.010035317488894207
2019-10-17,19.98,21.5,19.78,21.22,0.013354333809125363,0.0009294980867643967
2019-10-18,21.24,21.44,20.4,20.62,0.007338681892011616,0.07205277968376342
2019-10-21,20.58,21.18,19.82,20.0,0.008749323226854358,0.0017927936520964196
2019-10-22,20.0,21.37,20.0,20.96,0.005025348230545849,0.0780678889471724
2019-10-23,21.12,21.5,20.5,21.32,0.0037978047940148644,0.030824351834496805
2019-10-24,21.6,21.86,20.26,20.97,0.005463405030270217,0.03359213083564933
2019-10-25,20.84,21.34,20.53,21.17,0.004095092779445785,0.025953999571373013
2019-10-28,21.27,22.85,21.16,22.67,0.010551754688192154,0.061317512086958556
2019-10-29,22.79,22.95,21.5,21.84,0.00686026480287444,0.1074672426257029
2019-10-30,21.97,22.25,20.95,21.45,0.005861101540581779,0.01875514462800297
2019-10-31,21.5,22.08,20.92,21.59,0.003961214746271595,0.024383892625924018
2019-11-01,21.68,22.72,21.38,22.52,0.0064300831815720825,0.036548733906275055
2019-11-04,22.78,24.63,22.52,23.52,0.014918541123197323,0.001329460708084565
2019-11-05,23.33,23.47,22.5,22.69,0.00840281537628587,0.0796940841700424
2019-11-06,22.63,22.89,20.39,21.2,0.01742383225869961,0.03037857167121414
2019-11-07,25.81,27.73,23.96,24.43,0.03538612984200423,0.2180261468772388
2019-11-08,24.51,25.62,24.09,25.25,0.008405768568194123,0.11879318782190179
2019-11-11,24.81,26.72,24.58,25.88,0.007804301816213024,0.00861481385593961
2019-11-12,26.05,26.45,25.3,25.6,0.006617118669094846,0.035769580374232876
