Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,158.77999877929688,160.72999572753906,158.3300018310547,160.6199951171875,159.35238647460938,22622100
2020-01-03,158.32000732421875,159.9499969482422,158.05999755859375,158.6199951171875,157.36817932128906,21116200
2020-01-06,157.0800018310547,159.10000610351562,156.50999450683594,159.02999877929688,157.7749481201172,20813700
2020-01-07,159.32000732421875,159.6699981689453,157.32000732421875,157.5800018310547,156.33639526367188,21634100
2020-01-08,158.92999267578125,160.8000030517578,157.9499969482422,160.08999633789062,158.82656860351562,27746500
2020-01-09,161.83999633789062,162.22000122070312,161.02999877929688,162.08999633789062,160.81077575683594,21385000
2020-01-10,162.82000732421875,163.22000122070312,161.17999267578125,161.33999633789062,160.06671142578125,20725900
2020-01-13,161.75999450683594,163.30999755859375,161.25999450683594,163.27999877929688,161.99139404296875,21626500
2020-01-14,163.38999938964844,163.60000610351562,161.72000122070312,162.1300048828125,160.85047912597656,23477400
2020-01-15,162.6199951171875,163.94000244140625,162.57000732421875,163.17999267578125,161.89219665527344,21417900
2020-01-16,164.35000610351562,166.24000549316406,164.02999877929688,166.1699981689453,164.8585968017578,23865400
2020-01-17,167.4199981689453,167.47000122070312,165.42999267578125,167.10000610351562,165.78126525878906,34371700
2020-01-21,166.67999267578125,168.19000244140625,166.42999267578125,166.5,165.1859893798828,29517200
2020-01-22,167.39999389648438,167.49000549316406,165.67999267578125,165.6999969482422,164.39230346679688,24138800
2020-01-23,166.19000244140625,166.8000030517578,165.27000427246094,166.72000122070312,165.4042510986328,19680800
2020-01-24,167.50999450683594,167.52999877929688,164.4499969482422,165.0399932861328,163.73751831054688,24918100
2020-01-27,161.14999389648438,163.3800048828125,160.1999969482422,162.27999877929688,160.99928283691406,32078100
2020-01-28,163.77999877929688,165.75999450683594,163.07000732421875,165.4600067138672,164.1542205810547,24899900
2020-01-29,167.83999633789062,168.75,165.69000244140625,168.0399932861328,166.7138214111328,34754500
2020-01-30,174.0500030517578,174.0500030517578,170.7899932861328,172.77999877929688,171.4164276123047,51597500
2020-01-31,172.2100067138672,172.39999389648438,169.5800018310547,170.22999572753906,168.8865509033203,36142700
