S&P 500 & Sectors,% Change
S&P 500,-0.63
Communication Services,0.34
Consumer Discretionary,0.03
Consumer Staples,-0.01
Energy,-1.56
Financials,-1.86
Health Care,-0.72
Industrials,-1.06
Information Technology,-0.63
Materials,-0.94
Real Estate,-1.7
Utilities,-0.71
