ids,labels,parents
Best Value-BPYU,BPYU,Real Estate-Best Value
Best Value-KIM,KIM,Real Estate-Best Value
Best Value-EQC,EQC,Real Estate-Best Value
Fastest Growth-KIM,KIM,Real Estate-Fastest Growth
Fastest Growth-COLD,COLD,Real Estate-Fastest Growth
Fastest Growth-ARE,ARE,Real Estate-Fastest Growth
Most Momentum-CSGP,CSGP,Real Estate-Most Momentum
Most Momentum-EQIX,EQIX,Real Estate-Most Momentum
Most Momentum-SBAC,SBAC,Real Estate-Most Momentum
Best Value-NRG,NRG,Utilities-Best Value
Best Value-SRE,SRE,Utilities-Best Value
Best Value-PPL,PPL,Utilities-Best Value
Fastest Growth-ES,ES,Utilities-Fastest Growth
Fastest Growth-SRE,SRE,Utilities-Fastest Growth
Fastest Growth-PEG,PEG,Utilities-Fastest Growth
Most Momentum-NEE,NEE,Utilities-Most Momentum
Most Momentum-AWK,AWK,Utilities-Most Momentum
Most Momentum-AES,AES,Utilities-Most Momentum
